id_detalle,id_venta,id_producto,nombre_producto,cantidad,precio_unitario,importe
60,36,69,Sidra 750ml,1,744.0,744.0
61,37,66,Cerveza Negra 1L,1,1533.0,1533.0
62,38,44,Arroz Largo Fino 1kg,1,2979.0,2979.0
63,38,50,Azúcar 1kg,2,727.0,1454.0
64,38,32,Chocolate Amargo 100g,2,2234.0,4468.0
65,38,15,Leche Descremada 1L,1,2538.0,2538.0
66,38,53,Lavandina 1L,1,1664.0,1664.0
67,39,53,Lavandina 1L,1,1664.0,1664.0
68,40,21,Pan Lactal Integral,3,272.0,816.0
69,40,66,Cerveza Negra 1L,2,1533.0,3066.0
70,40,69,Sidra 750ml,4,744.0,2976.0
71,40,11,Café Molido 250g,1,2053.0,2053.0
72,40,85,Jugo en Polvo Naranja,2,1856.0,3712.0
73,41,73,Gin 700ml,1,1561.0,1561.0
74,42,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
75,42,41,Aceite de Girasol 1L,1,860.0,860.0
76,43,14,Leche Entera 1L,1,1723.0,1723.0
77,44,54,Jabón de Tocador,2,1592.0,3184.0
78,44,53,Lavandina 1L,3,1664.0,4992.0
79,44,20,Pan Lactal Blanco,3,1571.0,4713.0
80,45,70,Fernet 750ml,1,4061.0,4061.0
81,45,42,Vinagre de Alcohol 500ml,1,1195.0,1195.0
82,46,75,Licor de Café 700ml,2,3204.0,6408.0
83,46,25,Galletitas Vainilla,1,4015.0,4015.0
84,47,33,Chocolate con Leche 100g,1,1255.0,1255.0
85,48,21,Pan Lactal Integral,3,272.0,816.0
86,49,20,Pan Lactal Blanco,2,1470.0,2940.0
87,49,87,Sopa Instantánea Pollo,1,1679.0,1679.0
88,50,6,Jugo de Naranja 1L,2,4170.0,8340.0
89,50,1,Coca Cola 1.5L,2,2347.0,4694.0
90,50,89,Caldo Concentrado Verdura,1,1003.0,1003.0
91,50,7,Jugo de Manzana 1L,1,3269.0,3269.0
92,50,26,Alfajor Triple,1,1001.0,1001.0
93,50,87,Sopa Instantánea Pollo,1,1679.0,1679.0
94,50,45,Fideos Spaghetti 500g,3,745.0,2235.0
95,50,86,Jugo en Polvo Limón,1,4090.0,4090.0
96,50,21,Pan Lactal Integral,2,272.0,544.0
97,52,20,Pan Lactal Blanco,3,1571.0,4713.0
98,53,36,Dulce de Leche 400g,1,2559.0,2559.0
99,53,15,Leche Descremada 1L,1,2538.0,2538.0
100,54,1,Coca Cola 1.5L,3,2347.0,7041.0
101,54,11,Café Molido 250g,2,2053.0,4106.0
102,55,89,Caldo Concentrado Verdura,3,1003.0,3009.0
103,56,29,Papas Fritas Onduladas 100g,1,1868.0,1868.0
104,58,36,Dulce de Leche 400g,2,2559.0,5118.0
105,59,99,Esponjas x3,2,2430.0,4860.0
106,61,77,Empanadas Congeladas,1,4360.0,4360.0
107,63,14,Leche Entera 1L,1,1723.0,1723.0
108,64,69,Sidra 750ml,2,744.0,1488.0
109,66,1,Coca Cola 1.5L,1,2347.0,2347.0
110,66,99,Esponjas x3,1,2430.0,2430.0
111,67,39,Helado Vainilla 1L,2,469.0,938.0
112,67,69,Sidra 750ml,4,744.0,2976.0
113,67,73,Gin 700ml,1,1561.0,1561.0
114,68,40,Helado Chocolate 1L,1,1215.0,1215.0
115,69,11,Café Molido 250g,1,2053.0,2053.0
116,70,55,Shampoo 400ml,1,1407.0,1407.0
117,70,33,Chocolate con Leche 100g,3,1255.0,3765.0
118,71,67,Vino Tinto Malbec 750ml,1,4719.0,4719.0
119,71,21,Pan Lactal Integral,2,272.0,544.0
120,72,80,Helado de Frutilla 1L,1,1830.0,1830.0
121,73,68,Vino Blanco 750ml,2,2684.0,5368.0
122,74,11,Café Molido 250g,2,2053.0,4106.0
123,74,14,Leche Entera 1L,3,1723.0,5169.0
124,74,33,Chocolate con Leche 100g,2,1255.0,2510.0
125,74,55,Shampoo 400ml,1,1407.0,1407.0
126,75,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
127,76,24,Galletitas Chocolate,2,1305.0,2610.0
128,76,20,Pan Lactal Blanco,1,1571.0,1571.0
129,76,77,Empanadas Congeladas,2,4778.0,9556.0
130,76,86,Jugo en Polvo Limón,2,4090.0,8180.0
131,76,45,Fideos Spaghetti 500g,2,745.0,1490.0
132,78,24,Galletitas Chocolate,1,1305.0,1305.0
133,78,21,Pan Lactal Integral,3,272.0,816.0
134,80,12,Té Negro 20 saquitos,3,570.0,1710.0
135,81,12,Té Negro 20 saquitos,2,570.0,1140.0
136,82,21,Pan Lactal Integral,3,272.0,816.0
137,82,1,Coca Cola 1.5L,1,2347.0,2347.0
138,82,71,Vodka 700ml,4,508.0,2032.0
139,83,71,Vodka 700ml,2,508.0,1016.0
140,83,45,Fideos Spaghetti 500g,1,745.0,745.0
141,84,36,Dulce de Leche 400g,1,2559.0,2559.0
142,84,42,Vinagre de Alcohol 500ml,4,1195.0,4780.0
143,84,15,Leche Descremada 1L,1,2538.0,2538.0
144,84,73,Gin 700ml,2,1561.0,3122.0
145,85,73,Gin 700ml,1,1561.0,1561.0
146,85,37,Mermelada de Durazno 400g,1,3196.0,3196.0
147,86,26,Alfajor Triple,2,1001.0,2002.0
148,87,36,Dulce de Leche 400g,3,2559.0,7677.0
149,87,33,Chocolate con Leche 100g,4,1255.0,5020.0
150,88,73,Gin 700ml,1,1561.0,1561.0
151,88,43,Salsa de Tomate 500g,3,887.0,2661.0
152,88,33,Chocolate con Leche 100g,4,1255.0,5020.0
153,88,55,Shampoo 400ml,2,1407.0,2814.0
154,88,89,Caldo Concentrado Verdura,1,1003.0,1003.0
155,89,11,Café Molido 250g,2,2053.0,4106.0
156,90,1,Coca Cola 1.5L,2,2347.0,4694.0
157,91,94,Hilo Dental,1,1418.0,1418.0
158,92,15,Leche Descremada 1L,2,2538.0,5076.0
159,92,87,Sopa Instantánea Pollo,3,1679.0,5037.0
160,93,75,Licor de Café 700ml,1,3204.0,3204.0
161,93,33,Chocolate con Leche 100g,1,1255.0,1255.0
162,94,36,Dulce de Leche 400g,3,2559.0,7677.0
163,94,21,Pan Lactal Integral,3,272.0,816.0
164,94,8,Energética Nitro 500ml,1,4218.0,4218.0
165,95,20,Pan Lactal Blanco,1,1571.0,1571.0
166,96,90,Toallas Húmedas x50,3,2902.0,8706.0
167,96,36,Dulce de Leche 400g,1,2559.0,2559.0
168,96,20,Pan Lactal Blanco,1,1571.0,1571.0
169,97,33,Chocolate con Leche 100g,1,1255.0,1255.0
170,98,41,Aceite de Girasol 1L,1,860.0,860.0
171,99,11,Café Molido 250g,1,2053.0,2053.0
172,101,33,Chocolate con Leche 100g,3,1340.0,4020.0
173,102,12,Té Negro 20 saquitos,3,570.0,1710.0
174,103,15,Leche Descremada 1L,3,2538.0,7614.0
175,103,10,Yerba Mate Intensa 1kg,1,4883.0,4883.0
176,105,89,Caldo Concentrado Verdura,1,1030.0,1030.0
177,106,21,Pan Lactal Integral,3,272.0,816.0
178,106,1,Coca Cola 1.5L,3,2347.0,7041.0
179,106,64,Avena Instantánea 250g,1,3953.0,3953.0
180,108,39,Helado Vainilla 1L,2,469.0,938.0
181,109,11,Café Molido 250g,2,2053.0,4106.0
182,111,11,Café Molido 250g,1,2053.0,2053.0
183,111,32,Chocolate Amargo 100g,1,2234.0,2234.0
184,111,42,Vinagre de Alcohol 500ml,1,1195.0,1195.0
185,113,50,Azúcar 1kg,3,727.0,2181.0
186,114,58,Caramelos Masticables,2,4752.0,9504.0
187,114,71,Vodka 700ml,2,508.0,1016.0
188,114,89,Caldo Concentrado Verdura,2,1003.0,2006.0
189,115,56,Papel Higiénico x4,2,2532.0,5064.0
190,116,1,Coca Cola 1.5L,1,2347.0,2347.0
191,116,97,Limpiavidrios 500ml,3,872.0,2616.0
192,116,10,Yerba Mate Intensa 1kg,1,4883.0,4883.0
193,117,28,Papas Fritas Clásicas 100g,4,936.0,3744.0
194,118,11,Café Molido 250g,1,2053.0,2053.0
195,119,75,Licor de Café 700ml,1,3204.0,3204.0
196,119,18,Queso Rallado 150g,2,3444.0,6888.0
197,119,45,Fideos Spaghetti 500g,2,745.0,1490.0
198,119,14,Leche Entera 1L,1,1580.0,1580.0
199,120,47,Garbanzos 500g,1,2939.0,2939.0
200,120,83,Queso Untable 190g,1,1830.0,1830.0
201,121,9,Yerba Mate Suave 1kg,2,3878.0,7756.0
202,121,15,Leche Descremada 1L,2,2538.0,5076.0
203,124,25,Galletitas Vainilla,1,4015.0,4015.0
204,124,39,Helado Vainilla 1L,3,469.0,1407.0
205,125,7,Jugo de Manzana 1L,1,3269.0,3269.0
206,126,3,Sprite 1.5L,1,5410.0,5410.0
207,128,20,Pan Lactal Blanco,3,1571.0,4713.0
208,129,41,Aceite de Girasol 1L,1,860.0,860.0
209,129,26,Alfajor Triple,1,1001.0,1001.0
210,129,9,Yerba Mate Suave 1kg,3,3878.0,11634.0
211,129,78,Verduras Congeladas Mix,1,4289.0,4289.0
212,129,33,Chocolate con Leche 100g,2,1255.0,2510.0
213,129,15,Leche Descremada 1L,2,2538.0,5076.0
214,129,45,Fideos Spaghetti 500g,1,745.0,745.0
215,130,36,Dulce de Leche 400g,2,2559.0,5118.0
216,131,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
217,133,40,Helado Chocolate 1L,1,1215.0,1215.0
218,134,14,Leche Entera 1L,3,1723.0,5169.0
219,134,69,Sidra 750ml,2,744.0,1488.0
220,134,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
221,134,15,Leche Descremada 1L,1,2538.0,2538.0
222,137,41,Aceite de Girasol 1L,2,860.0,1720.0
223,137,36,Dulce de Leche 400g,1,2559.0,2559.0
224,139,32,Chocolate Amargo 100g,2,2234.0,4468.0
225,140,31,Mix de Frutos Secos 200g,3,3409.0,10227.0
226,140,29,Papas Fritas Onduladas 100g,1,1868.0,1868.0
227,141,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
228,141,94,Hilo Dental,1,1418.0,1418.0
229,144,97,Limpiavidrios 500ml,4,872.0,3488.0
230,144,5,Agua Mineral 500ml,2,4777.0,9554.0
231,145,85,Jugo en Polvo Naranja,3,1856.0,5568.0
232,145,21,Pan Lactal Integral,4,272.0,1088.0
233,145,20,Pan Lactal Blanco,3,1571.0,4713.0
234,145,43,Salsa de Tomate 500g,3,887.0,2661.0
235,145,55,Shampoo 400ml,1,1407.0,1407.0
236,145,37,Mermelada de Durazno 400g,1,3196.0,3196.0
237,145,49,Harina de Trigo 1kg,2,2512.0,5024.0
238,145,71,Vodka 700ml,2,508.0,1016.0
239,145,34,Turrón 50g,1,503.0,503.0
240,145,54,Jabón de Tocador,1,1592.0,1592.0
241,146,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
242,148,26,Alfajor Triple,1,1001.0,1001.0
243,148,20,Pan Lactal Blanco,2,1571.0,3142.0
244,148,55,Shampoo 400ml,4,1407.0,5628.0
245,148,47,Garbanzos 500g,1,3040.0,3040.0
246,149,77,Empanadas Congeladas,1,4778.0,4778.0
247,151,1,Coca Cola 1.5L,2,2347.0,4694.0
248,152,56,Papel Higiénico x4,2,2532.0,5064.0
249,153,80,Helado de Frutilla 1L,2,1981.0,3962.0
250,154,29,Papas Fritas Onduladas 100g,4,1868.0,7472.0
251,154,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
252,154,45,Fideos Spaghetti 500g,2,745.0,1490.0
253,155,66,Cerveza Negra 1L,2,1600.0,3200.0
254,155,23,Bizcochos Salados,3,2380.0,7140.0
255,155,99,Esponjas x3,1,2430.0,2430.0
256,156,95,Mascarilla Capilar,1,1581.0,1581.0
257,156,83,Queso Untable 190g,2,1780.0,3560.0
258,157,87,Sopa Instantánea Pollo,1,1679.0,1679.0
259,158,73,Gin 700ml,1,1561.0,1561.0
260,159,33,Chocolate con Leche 100g,3,1350.0,4050.0
261,159,71,Vodka 700ml,4,508.0,2032.0
262,159,83,Queso Untable 190g,4,1830.0,7320.0
263,159,51,Sal Fina 500g,4,1745.0,6980.0
264,159,97,Limpiavidrios 500ml,2,872.0,1744.0
265,159,73,Gin 700ml,2,1561.0,3122.0
266,159,95,Mascarilla Capilar,1,1581.0,1581.0
267,160,73,Gin 700ml,2,1561.0,3122.0
268,161,21,Pan Lactal Integral,4,272.0,1088.0
269,161,45,Fideos Spaghetti 500g,2,745.0,1490.0
270,161,20,Pan Lactal Blanco,1,1670.0,1670.0
271,162,77,Empanadas Congeladas,1,4778.0,4778.0
272,163,12,Té Negro 20 saquitos,2,570.0,1140.0
273,163,37,Mermelada de Durazno 400g,1,3196.0,3196.0
274,164,28,Papas Fritas Clásicas 100g,2,936.0,1872.0
275,165,1,Coca Cola 1.5L,2,2347.0,4694.0
276,165,69,Sidra 750ml,1,744.0,744.0
277,166,33,Chocolate con Leche 100g,3,1255.0,3765.0
278,166,41,Aceite de Girasol 1L,1,860.0,860.0
279,167,39,Helado Vainilla 1L,3,469.0,1407.0
280,168,77,Empanadas Congeladas,1,4778.0,4778.0
281,169,20,Pan Lactal Blanco,2,1571.0,3142.0
282,170,53,Lavandina 1L,3,1664.0,4992.0
283,170,18,Queso Rallado 150g,2,3444.0,6888.0
284,170,39,Helado Vainilla 1L,2,469.0,938.0
285,171,33,Chocolate con Leche 100g,3,1255.0,3765.0
286,171,21,Pan Lactal Integral,2,272.0,544.0
287,171,49,Harina de Trigo 1kg,1,2512.0,2512.0
288,171,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
289,171,20,Pan Lactal Blanco,4,1571.0,6284.0
290,171,99,Esponjas x3,2,2430.0,4860.0
291,171,15,Leche Descremada 1L,2,2538.0,5076.0
292,172,53,Lavandina 1L,3,1664.0,4992.0
293,173,99,Esponjas x3,1,2430.0,2430.0
294,173,1,Coca Cola 1.5L,1,2347.0,2347.0
295,174,31,Mix de Frutos Secos 200g,1,3409.0,3409.0
296,174,21,Pan Lactal Integral,1,272.0,272.0
297,176,14,Leche Entera 1L,2,1723.0,3446.0
298,177,33,Chocolate con Leche 100g,1,1255.0,1255.0
299,178,87,Sopa Instantánea Pollo,2,1679.0,3358.0
300,178,15,Leche Descremada 1L,3,2480.0,7440.0
301,178,1,Coca Cola 1.5L,1,2347.0,2347.0
302,178,41,Aceite de Girasol 1L,1,860.0,860.0
303,178,75,Licor de Café 700ml,2,3204.0,6408.0
304,178,63,Granola 250g,1,4337.0,4337.0
305,180,77,Empanadas Congeladas,1,4778.0,4778.0
306,181,75,Licor de Café 700ml,1,3204.0,3204.0
307,181,20,Pan Lactal Blanco,4,1571.0,6284.0
308,181,45,Fideos Spaghetti 500g,2,745.0,1490.0
309,181,31,Mix de Frutos Secos 200g,3,3409.0,10227.0
310,181,81,Aceitunas Verdes 200g,2,2520.0,5040.0
311,183,21,Pan Lactal Integral,3,272.0,816.0
312,185,36,Dulce de Leche 400g,1,2559.0,2559.0
313,185,11,Café Molido 250g,1,2053.0,2053.0
314,185,75,Licor de Café 700ml,1,3204.0,3204.0
315,185,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
316,186,80,Helado de Frutilla 1L,1,1981.0,1981.0
317,187,80,Helado de Frutilla 1L,1,1981.0,1981.0
318,189,46,Lentejas Secas 500g,2,3036.0,6072.0
319,189,11,Café Molido 250g,2,2053.0,4106.0
320,189,52,Detergente Líquido 750ml,2,2582.0,5164.0
321,189,13,Té Verde 20 saquitos,3,2383.0,7149.0
322,189,97,Limpiavidrios 500ml,4,872.0,3488.0
323,189,89,Caldo Concentrado Verdura,1,1003.0,1003.0
324,190,26,Alfajor Triple,1,1001.0,1001.0
325,190,36,Dulce de Leche 400g,1,2559.0,2559.0
326,190,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
327,190,74,Whisky 750ml,1,2953.0,2953.0
328,191,4,Fanta Naranja 1.5L,2,2033.0,4066.0
329,191,28,Papas Fritas Clásicas 100g,1,936.0,936.0
330,193,45,Fideos Spaghetti 500g,4,745.0,2980.0
331,193,36,Dulce de Leche 400g,3,2559.0,7677.0
332,193,1,Coca Cola 1.5L,1,2347.0,2347.0
333,193,59,Chicle Menta,2,3612.0,7224.0
334,193,21,Pan Lactal Integral,2,272.0,544.0
335,193,31,Mix de Frutos Secos 200g,1,3409.0,3409.0
336,193,75,Licor de Café 700ml,1,3204.0,3204.0
337,195,55,Shampoo 400ml,3,1407.0,4221.0
338,195,29,Papas Fritas Onduladas 100g,2,1820.0,3640.0
339,195,85,Jugo en Polvo Naranja,2,1856.0,3712.0
340,196,85,Jugo en Polvo Naranja,3,1856.0,5568.0
341,196,97,Limpiavidrios 500ml,2,872.0,1744.0
342,196,38,Mermelada de Frutilla 400g,1,1584.0,1584.0
343,196,13,Té Verde 20 saquitos,1,2383.0,2383.0
344,196,21,Pan Lactal Integral,2,280.0,560.0
345,197,36,Dulce de Leche 400g,2,2559.0,5118.0
346,198,36,Dulce de Leche 400g,2,2559.0,5118.0
347,198,20,Pan Lactal Blanco,1,1571.0,1571.0
348,198,31,Mix de Frutos Secos 200g,1,3409.0,3409.0
349,198,87,Sopa Instantánea Pollo,1,1679.0,1679.0
350,199,93,Cepillo de Dientes,2,2142.0,4284.0
351,199,36,Dulce de Leche 400g,1,2559.0,2559.0
352,199,31,Mix de Frutos Secos 200g,1,3409.0,3409.0
353,199,1,Coca Cola 1.5L,1,2347.0,2347.0
354,200,9,Yerba Mate Suave 1kg,3,3878.0,11634.0
355,200,73,Gin 700ml,1,1561.0,1561.0
356,202,87,Sopa Instantánea Pollo,2,1679.0,3358.0
357,202,34,Turrón 50g,4,503.0,2012.0
358,203,36,Dulce de Leche 400g,3,2780.0,8340.0
359,203,91,Desodorante Aerosol,1,4690.0,4690.0
360,205,51,Sal Fina 500g,4,1745.0,6980.0
361,205,37,Mermelada de Durazno 400g,1,3196.0,3196.0
362,205,15,Leche Descremada 1L,1,2538.0,2538.0
363,206,20,Pan Lactal Blanco,3,1571.0,4713.0
364,206,50,Azúcar 1kg,1,727.0,727.0
365,207,21,Pan Lactal Integral,2,272.0,544.0
366,207,51,Sal Fina 500g,2,1745.0,3490.0
367,207,39,Helado Vainilla 1L,3,469.0,1407.0
368,209,43,Salsa de Tomate 500g,4,887.0,3548.0
369,209,53,Lavandina 1L,1,1664.0,1664.0
370,210,14,Leche Entera 1L,1,1580.0,1580.0
371,210,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
372,212,85,Jugo en Polvo Naranja,1,1856.0,1856.0
373,213,95,Mascarilla Capilar,2,1581.0,3162.0
374,213,29,Papas Fritas Onduladas 100g,1,1868.0,1868.0
375,213,59,Chicle Menta,2,3612.0,7224.0
376,214,55,Shampoo 400ml,1,1407.0,1407.0
377,215,55,Shampoo 400ml,2,1407.0,2814.0
378,215,89,Caldo Concentrado Verdura,2,1003.0,2006.0
379,216,36,Dulce de Leche 400g,2,2559.0,5118.0
380,217,75,Licor de Café 700ml,1,3204.0,3204.0
381,218,75,Licor de Café 700ml,1,3204.0,3204.0
382,218,87,Sopa Instantánea Pollo,1,1679.0,1679.0
383,219,21,Pan Lactal Integral,3,272.0,816.0
384,219,42,Vinagre de Alcohol 500ml,3,1195.0,3585.0
385,219,89,Caldo Concentrado Verdura,1,1003.0,1003.0
386,220,97,Limpiavidrios 500ml,4,872.0,3488.0
387,220,54,Jabón de Tocador,1,1592.0,1592.0
388,220,71,Vodka 700ml,3,508.0,1524.0
389,220,33,Chocolate con Leche 100g,3,1255.0,3765.0
390,220,50,Azúcar 1kg,2,727.0,1454.0
391,221,17,Queso Cremoso 500g,1,4834.0,4834.0
392,221,33,Chocolate con Leche 100g,3,1255.0,3765.0
393,221,21,Pan Lactal Integral,4,272.0,1088.0
394,221,15,Leche Descremada 1L,1,2538.0,2538.0
395,222,20,Pan Lactal Blanco,1,1571.0,1571.0
396,223,53,Lavandina 1L,3,1664.0,4992.0
397,224,21,Pan Lactal Integral,1,272.0,272.0
398,224,81,Aceitunas Verdes 200g,1,2520.0,2520.0
399,224,20,Pan Lactal Blanco,3,1571.0,4713.0
400,224,75,Licor de Café 700ml,1,3204.0,3204.0
401,224,32,Chocolate Amargo 100g,1,2234.0,2234.0
402,226,29,Papas Fritas Onduladas 100g,4,1868.0,7472.0
403,226,18,Queso Rallado 150g,1,3444.0,3444.0
404,226,33,Chocolate con Leche 100g,1,1255.0,1255.0
405,227,89,Caldo Concentrado Verdura,2,1003.0,2006.0
406,230,14,Leche Entera 1L,1,1723.0,1723.0
407,231,34,Turrón 50g,1,503.0,503.0
408,231,24,Galletitas Chocolate,2,1305.0,2610.0
409,231,14,Leche Entera 1L,1,1723.0,1723.0
410,232,21,Pan Lactal Integral,4,272.0,1088.0
411,232,63,Granola 250g,1,3990.0,3990.0
412,233,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
413,233,71,Vodka 700ml,3,508.0,1524.0
414,235,20,Pan Lactal Blanco,1,1571.0,1571.0
415,236,36,Dulce de Leche 400g,2,2559.0,5118.0
416,237,33,Chocolate con Leche 100g,1,1255.0,1255.0
417,237,15,Leche Descremada 1L,2,2538.0,5076.0
418,237,11,Café Molido 250g,1,2180.0,2180.0
419,237,56,Papel Higiénico x4,2,2532.0,5064.0
420,237,35,Barrita de Cereal 30g,2,4430.0,8860.0
421,237,43,Salsa de Tomate 500g,1,887.0,887.0
422,237,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
423,241,11,Café Molido 250g,1,2053.0,2053.0
424,241,55,Shampoo 400ml,2,1407.0,2814.0
425,241,21,Pan Lactal Integral,2,272.0,544.0
426,242,11,Café Molido 250g,1,2053.0,2053.0
427,243,23,Bizcochos Salados,1,2380.0,2380.0
428,244,5,Agua Mineral 500ml,1,4777.0,4777.0
429,245,15,Leche Descremada 1L,3,2538.0,7614.0
430,245,45,Fideos Spaghetti 500g,2,745.0,1490.0
431,245,87,Sopa Instantánea Pollo,2,1679.0,3358.0
432,247,20,Pan Lactal Blanco,3,1590.0,4770.0
433,248,77,Empanadas Congeladas,1,4778.0,4778.0
434,248,36,Dulce de Leche 400g,1,2559.0,2559.0
435,248,75,Licor de Café 700ml,1,3204.0,3204.0
436,248,87,Sopa Instantánea Pollo,1,1679.0,1679.0
437,249,20,Pan Lactal Blanco,2,1571.0,3142.0
438,250,71,Vodka 700ml,1,508.0,508.0
439,250,77,Empanadas Congeladas,1,4778.0,4778.0
440,251,83,Queso Untable 190g,2,1830.0,3660.0
441,251,24,Galletitas Chocolate,1,1305.0,1305.0
442,253,85,Jugo en Polvo Naranja,2,1856.0,3712.0
443,253,95,Mascarilla Capilar,1,1581.0,1581.0
444,254,99,Esponjas x3,2,2430.0,4860.0
445,254,69,Sidra 750ml,1,744.0,744.0
446,254,11,Café Molido 250g,3,2100.0,6300.0
447,254,67,Vino Tinto Malbec 750ml,1,4719.0,4719.0
448,254,15,Leche Descremada 1L,3,2538.0,7614.0
449,254,28,Papas Fritas Clásicas 100g,1,936.0,936.0
450,254,93,Cepillo de Dientes,1,2142.0,2142.0
451,256,73,Gin 700ml,2,1561.0,3122.0
452,256,21,Pan Lactal Integral,4,272.0,1088.0
453,257,9,Yerba Mate Suave 1kg,1,3878.0,3878.0
454,258,21,Pan Lactal Integral,1,272.0,272.0
455,258,75,Licor de Café 700ml,1,3260.0,3260.0
456,259,36,Dulce de Leche 400g,1,2559.0,2559.0
457,260,90,Toallas Húmedas x50,1,2902.0,2902.0
458,260,55,Shampoo 400ml,2,1407.0,2814.0
459,260,77,Empanadas Congeladas,1,4778.0,4778.0
460,260,11,Café Molido 250g,1,2053.0,2053.0
461,261,44,Arroz Largo Fino 1kg,1,2979.0,2979.0
462,261,29,Papas Fritas Onduladas 100g,1,1868.0,1868.0
463,262,20,Pan Lactal Blanco,3,1571.0,4713.0
464,263,11,Café Molido 250g,3,2053.0,6159.0
465,263,27,Alfajor Simple,2,2502.0,5004.0
466,263,14,Leche Entera 1L,1,1770.0,1770.0
467,264,33,Chocolate con Leche 100g,4,1255.0,5020.0
468,264,80,Helado de Frutilla 1L,1,1981.0,1981.0
469,264,98,Desengrasante 500ml,2,2843.0,5686.0
470,264,39,Helado Vainilla 1L,1,469.0,469.0
471,265,45,Fideos Spaghetti 500g,2,745.0,1490.0
472,265,95,Mascarilla Capilar,1,1581.0,1581.0
473,265,1,Coca Cola 1.5L,1,2347.0,2347.0
